species_code	common_name	scientific_name	url	x1	x2	y1	y2	file_name
ostric3	Somali Ostrich	Struthio molybdophanes	https://image.laji.fi/xeno-canto292043/292043.mp3	0.6986957243905008	3.633217766830604	0.0	3535.8013509114585	292043.mp3
ostric3	Somali Ostrich	Struthio molybdophanes	https://image.laji.fi/xeno-canto292043/292043.mp3	4.595865209324183	6.4280006643926075	0.0	2650.468017578125	292043.mp3
ostric3	Somali Ostrich	Struthio molybdophanes	https://image.laji.fi/xeno-canto292043/292043.mp3	7.421701250192431	9.812793284773255	0.0	3314.4680175781255	292043.mp3
grerhe1	Greater Rhea	Rhea americana	https://image.laji.fi/cornell62003931/62003931_00.mp3	1.8907190962603877	2.953567520775623	0.0	391.1111111111111	62003931_00.mp3
grerhe1	Greater Rhea	Rhea americana	https://image.laji.fi/cornell295000/295000_00.mp3	2.512130018677115	3.7118722266033073	0.0	477.42222222222205	295000_00.mp3
grerhe1	Greater Rhea	Rhea americana	https://image.laji.fi/cornell203988431/203988431_00.mp3	2.876970394736842	4.456483552631579	0.0	746.6666666666662	203988431_00.mp3
grerhe1	Greater Rhea	Rhea americana	https://image.laji.fi/cornell203988431/203988431_00.mp3	26.456845394736845	27.83891940789474	0.0	853.3333333333335	203988431_00.mp3
grerhe1	Greater Rhea	Rhea americana	https://image.laji.fi/cornell203988441/203988441_00.mp3	1.7277485380116957	3.5497379053694837	0.0	853.3333333333335	203988441_00.mp3
grerhe1	Greater Rhea	Rhea americana	https://image.laji.fi/cornell203988441/203988441_00.mp3	16.168102852516498	17.82041836238632	0.0	620.0	203988441_00.mp3
grerhe1	Greater Rhea	Rhea americana	https://image.laji.fi/cornell294988/294988_00.mp3	4.091846790271132	5.163520949627857	0.0	746.6666666666662	294988_00.mp3
grerhe1	Greater Rhea	Rhea americana	https://image.laji.fi/cornell203988431/203988431_00.mp3	15.738720394736843	17.149	0.0	746.6666666666662	203988431_00.mp3
