Common name,Scientific name,No.,No. Back
Ruddy-headed Goose,Chloephaga rubidiceps,10,0
Raja Shelduck,Radjah radjah,28,3
Common Shelduck,Tadorna tadorna,431,264
Ruddy Shelduck,Tadorna ferruginea,229,137
South African Shelduck,Tadorna cana,42,37
Australian Shelduck,Tadorna tadornoides,17,8
Paradise Shelduck,Tadorna variegata,17,9
Pink-eared Duck,Malacorhynchus membranaceus,35,4
Salvadori's Teal,Salvadorina waigiuensis,2,0
Muscovy Duck,Cairina moschata,36,6
White-winged Duck,Asarcornis scutulata,4,0
Hartlaub's Duck,Pteronetta hartlaubii,2,0
Wood Duck,Aix sponsa,96,39
Mandarin Duck,Aix galericulata,138,8
Maned Duck,Chenonetta jubata,29,9
African Pygmy Goose,Nettapus auritus,14,0
Cotton Pygmy Goose,Nettapus coromandelianus,10,1
Green Pygmy Goose,Nettapus pulchellus,4,0
Brazilian Teal,Amazonetta brasiliensis,70,12
Ringed Teal,Callonetta leucophrys,13,1
Crested Duck,Lophonetta specularioides,37,6
Bronze-winged Duck,Speculanas specularis,6,0
Baikal Teal,Sibirionetta formosa,8,1
Garganey,Spatula querquedula,237,40
Blue-billed Teal,Spatula hottentota,3,0
Puna Teal,Spatula puna,20,0
Silver Teal,Spatula versicolor,12,1
Red Shoveler,Spatula platalea,5,1
Cinnamon Teal,Spatula cyanoptera,27,4
Blue-winged Teal,Spatula discors,87,21
Cape Shoveler,Spatula smithii,9,2
Australasian Shoveler,Spatula rhynchotis,2,0
Northern Shoveler,Spatula clypeata,267,198
Gadwall,Mareca strepera,521,324
Falcated Duck,Mareca falcata,11,7
Eurasian Wigeon,Mareca penelope,780,438
Chiloe Wigeon,Mareca sibilatrix,37,11
American Wigeon,Mareca americana,81,61
African Black Duck,Anas sparsa,8,2
Yellow-billed Duck,Anas undulata,35,11
Meller's Duck,Anas melleri,10,0
Pacific Black Duck,Anas superciliosa,28,14
Laysan Duck,Anas laysanensis,19,4
Hawaiian Duck,Anas wyvilliana,6,3
Philippine Duck,Anas luzonica,4,0
Indian Spot-billed Duck,Anas poecilorhyncha,27,10
Eastern Spot-billed Duck,Anas zonorhyncha,29,26
Mallard,Anas platyrhynchos,1182,2300
Mottled Duck,Anas fulvigula,16,9
American Black Duck,Anas rubripes,21,2
Mexican Duck,Anas diazi,63,25
Cape Teal,Anas capensis,4,0
White-cheeked Pintail,Anas bahamensis,14,2
Red-billed Teal,Anas erythrorhyncha,10,7
Yellow-billed Pintail,Anas georgica,45,27
Eaton's Pintail,Anas eatoni,2,1
Northern Pintail,Anas acuta,251,101
Eurasian Teal,Anas crecca,1002,562
Green-winged Teal,Anas carolinensis,65,34
Yellow-billed Teal,Anas flavirostris,53,18
Andean Teal,Anas andium,25,3
Sunda Teal,Anas gibberifrons,9,0
Andaman Teal,Anas albogularis,6,1
Grey Teal,Anas gracilis,36,16
Chestnut Teal,Anas castanea,7,0
Bernier's Teal,Anas bernieri,7,0
Brown Teal,Anas chlorotis,2,0
Campbell Teal,Anas nesiotis,5,0
Marbled Duck,Marmaronetta angustirostris,9,0
Red-crested Pochard,Netta rufina,71,25
Rosy-billed Pochard,Netta peposaca,12,0
Southern Pochard,Netta erythrophthalma,7,0
Canvasback,Aythya valisineria,11,1
Redhead,Aythya americana,18,2
Common Pochard,Aythya ferina,143,22
Hardhead,Aythya australis,1,0
Madagascar Pochard,Aythya innotata,5,0
Ferruginous Duck,Aythya nyroca,20,2
New Zealand Scaup,Aythya novaeseelandiae,1,0
Ring-necked Duck,Aythya collaris,47,4
Tufted Duck,Aythya fuligula,224,63
Greater Scaup,Aythya marila,27,0
Lesser Scaup,Aythya affinis,12,2
Steller's Eider,Polysticta stelleri,6,0
Spectacled Eider,Somateria fischeri,7,0
King Eider,Somateria spectabilis,17,1
Common Eider,Somateria mollissima,142,119
Harlequin Duck,Histrionicus histrionicus,37,1
Surf Scoter,Melanitta perspicillata,20,1
Velvet Scoter,Melanitta fusca,41,6
White-winged Scoter,Melanitta deglandi,1,0
Stejneger's Scoter,Melanitta stejnegeri,4,0
Common Scoter,Melanitta nigra,662,48
Black Scoter,Melanitta americana,30,10
Long-tailed Duck,Clangula hyemalis,178,61
Bufflehead,Bucephala albeola,23,2
Common Goldeneye,Bucephala clangula,269,130
Barrow's Goldeneye,Bucephala islandica,37,1
Smew,Mergellus albellus,25,6
Hooded Merganser,Lophodytes cucullatus,32,8
Brazilian Merganser,Mergus octosetaceus,16,0
Common Merganser,Mergus merganser,186,41
Red-breasted Merganser,Mergus serrator,82,23
Scaly-sided Merganser,Mergus squamatus,1,0
Black-headed Duck,Heteronetta atricapilla,10,1
Masked Duck,Nomonyx dominicus,17,1
Ruddy Duck,Oxyura jamaicensis,50,12
Andean Duck,Oxyura ferruginea,19,0
Lake Duck,Oxyura vittata,3,0
Blue-billed Duck,Oxyura australis,3,0
Maccoa Duck,Oxyura maccoa,3,0
White-headed Duck,Oxyura leucocephala,5,3
Musk Duck,Biziura lobata,20,5
Australian Brushturkey,Alectura lathami,28,9
Wattled Brushturkey,Aepypodius arfakianus,3,0
Red-billed Brushturkey,Talegalla cuvieri,6,4
Black-billed Brushturkey,Talegalla fuscirostris,20,5
Collared Brushturkey,Talegalla jobiensis,20,4
Malleefowl,Leipoa ocellata,9,6
Maleo,Macrocephalon maleo,7,1
Moluccan Megapode,Eulipoa wallacei,7,0
Tongan Megapode,Megapodius pritchardii,14,0
Micronesian Megapode,Megapodius laperouse,7,0
Nicobar Megapode,Megapodius nicobariensis,2,0
Philippine Megapode,Megapodius cumingii,22,7
Sula Megapode,Megapodius bernsteinii,5,0
Tanimbar Megapode,Megapodius tenimberensis,1,0
Dusky Megapode,Megapodius freycinet,44,17
Biak Scrubfowl,Megapodius geelvinkianus,9,0
Melanesian Megapode,Megapodius eremita,13,2
Vanuatu Megapode,Megapodius layardi,3,0
New Guinea Scrubfowl,Megapodius decollatus,6,0
Orange-footed Scrubfowl,Megapodius reinwardt,79,58
Plain Chachalaca,Ortalis vetula,107,56
Grey-headed Chachalaca,Ortalis cinereiceps,45,12
Chestnut-winged Chachalaca,Ortalis garrula,45,8
Rufous-vented Chachalaca,Ortalis ruficauda,56,16
Rufous-headed Chachalaca,Ortalis erythroptera,50,23
Rufous-bellied Chachalaca,Ortalis wagleri,56,89
West Mexican Chachalaca,Ortalis poliocephala,47,46
Chaco Chachalaca,Ortalis canicollis,109,119
White-bellied Chachalaca,Ortalis leucogastra,21,3
Speckled Chachalaca,Ortalis guttata,125,133
East Brazilian Chachalaca,Ortalis araucuan,26,9
Scaled Chachalaca,Ortalis squamata,19,1
Colombian Chachalaca,Ortalis columbiana,134,53
Little Chachalaca,Ortalis motmot,48,27
Chestnut-headed Chachalaca,Ortalis ruficeps,4,0
Buff-browed Chachalaca,Ortalis superciliaris,12,2
Band-tailed Guan,Penelope argyrotis,55,8
Bearded Guan,Penelope barbata,28,11
Baudo Guan,Penelope ortoni,14,1
Andean Guan,Penelope montagnii,130,27
Marail Guan,Penelope marail,18,2
Rusty-margined Guan,Penelope superciliaris,45,3
Red-faced Guan,Penelope dabbenei,26,4
Crested Guan,Penelope purpurascens,100,39
Cauca Guan,Penelope perspicax,55,10
White-winged Guan,Penelope albipennis,21,9
Spix's Guan,Penelope jacquacu,65,189
Dusky-legged Guan,Penelope obscura,85,13
Yungas Guan,Penelope bridgesi,33,12
White-crested Guan,Penelope pileata,14,2
Chestnut-bellied Guan,Penelope ochrogaster,12,0
White-browed Guan,Penelope jacucaca,3,2
Trinidad Piping Guan,Pipile pipile,1,0
Blue-throated Piping Guan,Pipile cumanensis,48,62
Red-throated Piping Guan,Pipile cujubi,15,4
Black-fronted Piping Guan,Pipile jacutinga,12,0
Wattled Guan,Aburria aburri,90,39
Black Guan,Chamaepetes unicolor,6,0
Sickle-winged Guan,Chamaepetes goudotii,46,3
Highland Guan,Penelopina nigra,42,70
Horned Guan,Oreophasis derbianus,19,7
Nocturnal Curassow,Nothocrax urumutum,25,2
Crestless Curassow,Mitu tomentosum,24,2
Salvin's Curassow,Mitu salvini,23,0
Razor-billed Curassow,Mitu tuberosum,44,72
Helmeted Curassow,Pauxi pauxi,8,0
Sira Curassow,Pauxi koepckeae,7,0
Great Curassow,Crax rubra,33,2
Blue-billed Curassow,Crax alberti,28,0
Yellow-knobbed Curassow,Crax daubentoni,6,0
Black Curassow,Crax alector,26,2
Wattled Curassow,Crax globulosa,12,3
Bare-faced Curassow,Crax fasciolata,69,10
Red-billed Curassow,Crax blumenbachii,15,1
White-breasted Guineafowl,Agelastes meleagrides,2,0
Helmeted Guineafowl,Numida meleagris,126,229
Plumed Guineafowl,Guttera plumifera,5,0
Crested Guineafowl,Guttera pucherani,23,3
Vulturine Guineafowl,Acryllium vulturinum,14,0
Stone Partridge,Ptilopachus petrosus,51,10
Nahan's Partridge,Ptilopachus nahani,6,0
Buffy-crowned Wood Partridge,Dendrortyx leucophrys,21,4
Long-tailed Wood Partridge,Dendrortyx macroura,42,7
Bearded Wood Partridge,Dendrortyx barbatus,9,0
Mountain Quail,Oreortyx pictus,92,223
Scaled Quail,Callipepla squamata,59,33
Elegant Quail,Callipepla douglasii,52,101
California Quail,Callipepla californica,198,310
Gambel's Quail,Callipepla gambelii,137,1178
Banded Quail,Philortyx fasciatus,16,1
Northern Bobwhite,Colinus virginianus,127,136
Yucatan Bobwhite,Colinus nigrogularis,8,1
Spot-bellied Bobwhite,Colinus leucopogon,28,31
Crested Bobwhite,Colinus cristatus,62,45
Marbled Wood Quail,Odontophorus gujanensis,89,11
Spot-winged Wood Quail,Odontophorus capueira,80,11
Black-eared Wood Quail,Odontophorus melanotis,26,1
Rufous-fronted Wood Quail,Odontophorus erythrops,33,6
Black-fronted Wood Quail,Odontophorus atrifrons,21,3
Chestnut Wood Quail,Odontophorus hyperythrus,99,5
Dark-backed Wood Quail,Odontophorus melanonotus,32,8
Rufous-breasted Wood Quail,Odontophorus speciosus,34,6
Tacarcuna Wood Quail,Odontophorus dialeucos,6,0
Gorgeted Wood Quail,Odontophorus strophium,37,1
Venezuelan Wood Quail,Odontophorus columbianus,7,0
Black-breasted Wood Quail,Odontophorus leucolaemus,24,0
Stripe-faced Wood Quail,Odontophorus balliviani,15,5
Starred Wood Quail,Odontophorus stellatus,39,41
Spotted Wood Quail,Odontophorus guttatus,48,4
Singing Quail,Dactylortyx thoracicus,42,13
Montezuma Quail,Cyrtonyx montezumae,76,22
Ocellated Quail,Cyrtonyx ocellatus,22,1
Tawny-faced Quail,Rhynchortyx cinctus,42,13
Udzungwa Forest Partridge,Xenoperdix udzungwensis,6,1
Rubeho Forest Partridge,Xenoperdix obscuratus,34,0
Ferruginous Partridge,Caloperdix oculeus,20,0
Crested Partridge,Rollulus rouloul,27,2
Black Partridge,Melanoperdix niger,3,0
Hill Partridge,Arborophila torqueola,78,41
Sichuan Partridge,Arborophila rufipectus,7,0
Chestnut-breasted Partridge,Arborophila mandellii,16,2
White-necklaced Partridge,Arborophila gingica,16,1
Rufous-throated Partridge,Arborophila rufogularis,63,28
Red-billed Partridge,Arborophila rubrirostris,8,0
Siamese Partridge,Arborophila diversa,3,0
Chestnut-headed Partridge,Arborophila cambodiana,8,0
Hainan Partridge,Arborophila ardens,22,2
Taiwan Partridge,Arborophila crudigularis,14,13
White-cheeked Partridge,Arborophila atrogularis,17,1
Bar-backed Partridge,Arborophila brunneopectus,19,0
Orange-necked Partridge,Arborophila davidi,19,1
Red-breasted Partridge,Arborophila hyperythra,30,0
Malayan Partridge,Arborophila campbelli,28,3
Roll's Partridge,Arborophila rolli,10,0
Sumatran Partridge,Arborophila sumatrana,1,0
Chestnut-bellied Partridge,Arborophila javanica,27,1
Grey-breasted Partridge,Arborophila orientalis,31,0
Snow Partridge,Lerwa lerwa,16,1
Blood Pheasant,Ithaginis cruentus,29,4
Western Tragopan,Tragopan melanocephalus,6,0
Satyr Tragopan,Tragopan satyra,10,1
Blyth's Tragopan,Tragopan blythii,17,1
Temminck's Tragopan,Tragopan temminckii,9,1
Cabot's Tragopan,Tragopan caboti,5,0
Verreaux's Monal-Partridge,Tetraophasis obscurus,17,0
Szechenyi's Monal-Partridge,Tetraophasis szechenyii,11,0
Himalayan Monal,Lophophorus impejanus,39,2
Sclater's Monal,Lophophorus sclateri,2,0
Chinese Monal,Lophophorus lhuysii,11,0
Koklass Pheasant,Pucrasia macrolopha,39,6
Wild Turkey,Meleagris gallopavo,126,127
Ocellated Turkey,Meleagris ocellata,12,0
Ruffed Grouse,Bonasa umbellus,53,17
Hazel Grouse,Tetrastes bonasia,361,31
Chinese Grouse,Tetrastes sewerzowi,1,0
Sage Grouse,Centrocercus urophasianus,35,1
Gunnison Grouse,Centrocercus minimus,7,0
Dusky Grouse,Dendragapus obscurus,28,0
Sooty Grouse,Dendragapus fuliginosus,51,8
Sharp-tailed Grouse,Tympanuchus phasianellus,53,20
Greater Prairie Chicken,Tympanuchus cupido,43,4
Lesser Prairie Chicken,Tympanuchus pallidicinctus,19,0
White-tailed Ptarmigan,Lagopus leucura,46,1
Willow Ptarmigan,Lagopus lagopus,200,79
Rock Ptarmigan,Lagopus muta,90,11
Siberian Grouse,Falcipennis falcipennis,1,0
Spruce Grouse,Canachites canadensis,26,0
Western Capercaillie,Tetrao urogallus,163,16
Black-billed Capercaillie,Tetrao urogalloides,20,2
Black Grouse,Lyrurus tetrix,283,259
Caucasian Grouse,Lyrurus mlokosiewiczi,1,0
Long-billed Partridge,Rhizothera longirostris,19,0
Tibetan Partridge,Perdix hodgsoniae,12,0
Grey Partridge,Perdix perdix,329,61
Daurian Partridge,Perdix dauurica,6,0
Copper Pheasant,Syrmaticus soemmerringii,2,0
Reeves's Pheasant,Syrmaticus reevesii,14,0
Mikado Pheasant,Syrmaticus mikado,11,0
Elliot's Pheasant,Syrmaticus ellioti,1,0
Mrs. Hume's Pheasant,Syrmaticus humiae,7,0
Golden Pheasant,Chrysolophus pictus,22,3
Lady Amherst's Pheasant,Chrysolophus amherstiae,21,5
Common Pheasant,Phasianus colchicus,697,9202
Green Pheasant,Phasianus versicolor,4,6
Cheer Pheasant,Catreus wallichii,11,1
Tibetan Eared Pheasant,Crossoptilon harmani,14,0
White Eared Pheasant,Crossoptilon crossoptilon,13,1
Brown Eared Pheasant,Crossoptilon mantchuricum,16,1
Blue Eared Pheasant,Crossoptilon auritum,8,0
Swinhoe's Pheasant,Lophura swinhoii,13,0
Bulwer's Pheasant,Lophura bulweri,4,2
Kalij Pheasant,Lophura leucomelanos,24,2
Silver Pheasant,Lophura nycthemera,17,1
Crestless Fireback,Lophura erythrophthalma,1,0
Siamese Fireback,Lophura diardi,28,1
Salvadori's Pheasant,Lophura inornata,2,0
Crested Fireback,Lophura ignita,20,0
Vietnamese Crested Argus,Rheinardia ocellata,2,1
Great Argus,Argusianus argus,90,44
Congo Peafowl,Afropavo congensis,6,0
Indian Peafowl,Pavo cristatus,106,122
Green Peafowl,Pavo muticus,16,3
Green-legged Partridge,Tropicoperdix chloropus,58,5
Chestnut-necklaced Partridge,Tropicoperdix charltonii,43,6
Crimson-headed Partridge,Haematortyx sanguiniceps,36,0
Red Spurfowl,Galloperdix spadicea,30,0
Painted Spurfowl,Galloperdix lunulata,5,0
Sri Lanka Spurfowl,Galloperdix bicalcarata,29,0
Palawan Peacock-Pheasant,Polyplectron napoleonis,8,1
Bornean Peacock-Pheasant,Polyplectron schleiermacheri,32,0
Malayan Peacock-Pheasant,Polyplectron malacense,47,3
Germain's Peacock-Pheasant,Polyplectron germaini,26,4
Hainan Peacock-Pheasant,Polyplectron katsumatae,3,0
Grey Peacock-Pheasant,Polyplectron bicalcaratum,62,10
Mountain Peacock-Pheasant,Polyplectron inopinatum,11,0
Bronze-tailed Peacock-Pheasant,Polyplectron chalcurum,14,0
Mountain Bamboo Partridge,Bambusicola fytchii,17,4
Chinese Bamboo Partridge,Bambusicola thoracicus,38,10
Taiwan Bamboo Partridge,Bambusicola sonorivox,28,14
Green Junglefowl,Gallus varius,28,5
Red Junglefowl,Gallus gallus,171,850
Grey Junglefowl,Gallus sonneratii,66,23
Sri Lanka Junglefowl,Gallus lafayettii,31,23
Latham's Francolin,Peliperdix lathami,18,5
Crested Francolin,Ortygornis sephaena,89,39
Grey Francolin,Ortygornis pondicerianus,84,67
Swamp Francolin,Ortygornis gularis,13,1
Chinese Francolin,Francolinus pintadeanus,60,29
Black Francolin,Francolinus francolinus,85,25
Painted Francolin,Francolinus pictus,24,16
Coqui Francolin,Campocolinus coqui,36,5
White-throated Francolin,Campocolinus albogularis,18,0
Red-winged Francolin,Scleroptila levaillantii,28,3
Finsch's Francolin,Scleroptila finschi,1,0
Moorland Francolin,Scleroptila psilolaema,6,0
Grey-winged Francolin,Scleroptila afra,17,3
Orange River Francolin,Scleroptila gutturalis,29,23
Shelley's Francolin,Scleroptila shelleyi,32,1
Tibetan Snowcock,Tetraogallus tibetanus,20,2
Altai Snowcock,Tetraogallus altaicus,21,9
Caucasian Snowcock,Tetraogallus caucasicus,31,5
Caspian Snowcock,Tetraogallus caspius,14,1
Himalayan Snowcock,Tetraogallus himalayensis,18,9
See-see Partridge,Ammoperdix griseogularis,7,1
Sand Partridge,Ammoperdix heyi,12,3
Brown Quail,Synoicus ypsilophorus,23,6
Snow Mountain Quail,Synoicus monorthonyx,3,0
King Quail,Synoicus chinensis,13,1
Common Quail,Coturnix coturnix,1438,387
Japanese Quail,Coturnix japonica,54,14
Harlequin Quail,Coturnix delegorguei,38,7
Rain Quail,Coturnix coromandelica,34,0
Stubble Quail,Coturnix pectoralis,10,1
Barbary Partridge,Alectoris barbara,27,0
Arabian Partridge,Alectoris melanocephala,22,7
Red-legged Partridge,Alectoris rufa,351,2330
Chukar Partridge,Alectoris chukar,102,79
Rock Partridge,Alectoris graeca,77,2
Philby's Partridge,Alectoris philbyi,11,1
Przevalski's Partridge,Alectoris magna,14,0
Jungle Bush Quail,Perdicula asiatica,11,1
Rock Bush Quail,Perdicula argoondah,2,1
Painted Bush Quail,Perdicula erythrorhyncha,14,0
Hartlaub's Spurfowl,Pternistis hartlaubi,10,0
Mount Cameroon Spurfowl,Pternistis camerunensis,2,0
Handsome Spurfowl,Pternistis nobilis,7,0
Chestnut-naped Spurfowl,Pternistis castaneicollis,9,0
Black-fronted Spurfowl,Pternistis atrifrons,3,0
Erckel's Spurfowl,Pternistis erckelii,11,4
Djibouti Spurfowl,Pternistis ochropectus,2,0
Swierstra's Spurfowl,Pternistis swierstrai,6,0
Ahanta Spurfowl,Pternistis ahantensis,20,3
Grey-striped Spurfowl,Pternistis griseostriatus,8,0
Jackson's Spurfowl,Pternistis jacksoni,2,0
Red-billed Spurfowl,Pternistis adspersus,21,7
Cape Spurfowl,Pternistis capensis,14,3
Natal Spurfowl,Pternistis natalensis,71,40
Hildebrandt's Spurfowl,Pternistis hildebrandti,33,4
Double-spurred Spurfowl,Pternistis bicalcaratus,55,49
Scaly Spurfowl,Pternistis squamatus,26,2
Heuglin's Spurfowl,Pternistis icterorhynchus,6,3
Clapperton's Spurfowl,Pternistis clappertoni,9,1
Harwood's Spurfowl,Pternistis harwoodi,6,0
Swainson's Spurfowl,Pternistis swainsonii,39,109
Yellow-necked Spurfowl,Pternistis leucoscepus,22,6
Grey-breasted Spurfowl,Pternistis rufopictus,2,0
Red-necked Spurfowl,Pternistis afer,64,22
Spotted Nightjar,Eurostopodus argus,15,4
White-throated Nightjar,Eurostopodus mystacalis,8,2
Satanic Nightjar,Eurostopodus diabolicus,4,0
Papuan Nightjar,Eurostopodus papuensis,5,0
Malaysian Eared Nightjar,Lyncornis temminckii,21,3
Great Eared Nightjar,Lyncornis macrotis,77,17
Nacunda Nighthawk,Chordeiles nacunda,22,1
Least Nighthawk,Chordeiles pusillus,60,9
Sand-colored Nighthawk,Chordeiles rupestris,11,4
Lesser Nighthawk,Chordeiles acutipennis,97,26
Common Nighthawk,Chordeiles minor,164,116
Antillean Nighthawk,Chordeiles gundlachii,26,1
Short-tailed Nighthawk,Lurocalis semitorquatus,169,25
Rufous-bellied Nighthawk,Lurocalis rufiventris,26,11
Band-tailed Nighthawk,Nyctiprogne leucopyga,43,10
Plain-tailed Nighthawk,Nyctiprogne vielliardi,3,0
Blackish Nightjar,Nyctipolus nigrescens,42,2
Pygmy Nightjar,Nyctipolus hirundinaceus,15,0
Pauraque,Nyctidromus albicollis,534,223
Anthony's Nightjar,Nyctidromus anthonyi,26,1
Todd's Nightjar,Setopagis heterura,1,0
Little Nightjar,Setopagis parvula,90,39
Sickle-winged Nightjar,Eleothreptus anomalus,39,0
White-winged Nightjar,Eleothreptus candicans,7,0
Band-winged Nightjar,Systellura longirostris,136,10
Tschudi's Nightjar,Systellura decussata,10,0
Swallow-tailed Nightjar,Uropsalis segmentata,28,3
Lyre-tailed Nightjar,Uropsalis lyra,39,0
White-tailed Nightjar,Hydropsalis cayennensis,41,0
Spot-tailed Nightjar,Hydropsalis maculicaudus,72,10
Ladder-tailed Nightjar,Hydropsalis climacocerca,35,0
Scissor-tailed Nightjar,Hydropsalis torquata,44,2
Long-trained Nightjar,Macropsalis forcipata,10,0
Least Poorwill,Siphonorhis brewsteri,6,0
Choco Poorwill,Nyctiphrynus rosenbergi,32,5
Eared Poorwill,Nyctiphrynus mcleodii,17,3
Yucatan Poorwill,Nyctiphrynus yucatanicus,18,1
Ocellated Poorwill,Nyctiphrynus ocellatus,112,117
Common Poorwill,Phalaenoptilus nuttallii,176,138
Chuck-will's-widow,Antrostomus carolinensis,127,31
Rufous Nightjar,Antrostomus rufus,126,42
Cuban Nightjar,Antrostomus cubanensis,1,0
Hispaniolan Nightjar,Antrostomus ekmani,7,0
Tawny-collared Nightjar,Antrostomus salvini,10,0
Yucatan Nightjar,Antrostomus badius,10,1
Silky-tailed Nightjar,Antrostomus sericocaudatus,61,7
Buff-collared Nightjar,Antrostomus ridgwayi,69,17
Eastern Whip-poor-will,Antrostomus vociferus,117,20
Mexican Whip-poor-will,Antrostomus arizonae,140,52
Puerto Rican Nightjar,Antrostomus noctitherus,11,1
Dusky Nightjar,Antrostomus saturatus,26,1
Brown Nightjar,Veles binotatus,20,0
Red-necked Nightjar,Caprimulgus ruficollis,143,47
