"species_code","common_name","scientific_name","xc_common_name","xc_scientific_name"
"whocra","Whooping Crane","Grus americana","Whooping Crane","Grus americana"
"blncra1","Black-necked Crane","Grus nigricollis","Black-necked Crane","Grus nigricollis"
"reccra1","Red-crowned Crane","Grus japonensis","Red-crowned Crane","Grus japonensis"
"snoshe2","Snowy Sheathbill","Chionis albus","Snowy Sheathbill","Chionis albus"
"blfshe1","Black-faced Sheathbill","Chionis minor","Black-faced Sheathbill","Chionis minor"
"magplo1","Magellanic Plover","Pluvianellus socialis","Magellanic Plover","Pluvianellus socialis"
"watkne1","Water Thick-knee","Burhinus vermiculatus","Water Thick-knee","Burhinus vermiculatus"
"eutkne1","Eurasian Thick-knee","Burhinus oedicnemus","Eurasian Stone-curlew","Burhinus oedicnemus"
"indthk1","Indian Thick-knee","Burhinus indicus","Indian Stone-curlew","Burhinus indicus"
"setkne1","Senegal Thick-knee","Burhinus senegalensis","Senegal Thick-knee","Burhinus senegalensis"
"sptkne1","Spotted Thick-knee","Burhinus capensis","Spotted Thick-knee","Burhinus capensis"
"dstkne","Double-striped Thick-knee","Burhinus bistriatus","Double-striped Thick-knee","Burhinus bistriatus"
"petkne1","Peruvian Thick-knee","Burhinus superciliaris","Peruvian Thick-knee","Burhinus superciliaris"
"butkne1","Bush Thick-knee","Burhinus grallarius","Bush Stone-curlew","Burhinus grallarius"
"grtkne1","Great Thick-knee","Esacus recurvirostris","Great Stone-curlew","Esacus recurvirostris"
"beathk1","Beach Thick-knee","Esacus magnirostris","Beach Stone-curlew","Esacus magnirostris"
"egyplo1","Egyptian Plover","Pluvianus aegyptius","Egyptian Plover","Pluvianus aegyptius"
"bkwsti","Black-winged Stilt","Himantopus himantopus","Black-winged Stilt","Himantopus himantopus"
"piesti1","Pied Stilt","Himantopus leucocephalus","Pied Stilt","Himantopus leucocephalus"
"blasti1","Black Stilt","Himantopus novaezelandiae","Black Stilt","Himantopus novaezelandiae"
"bknsti","Black-necked Stilt","Himantopus mexicanus","Black-necked Stilt","Himantopus mexicanus"
"bansti1","Banded Stilt","Cladorhynchus leucocephalus","Banded Stilt","Cladorhynchus leucocephalus"
"pieavo1","Pied Avocet","Recurvirostra avosetta","Pied Avocet","Recurvirostra avosetta"
"renavo1","Red-necked Avocet","Recurvirostra novaehollandiae","Red-necked Avocet","Recurvirostra novaehollandiae"
"andavo1","Andean Avocet","Recurvirostra andina","Andean Avocet","Recurvirostra andina"
"ameavo","American Avocet","Recurvirostra americana","American Avocet","Recurvirostra americana"
"ibisbi1","Ibisbill","Ibidorhyncha struthersii","Ibisbill","Ibidorhyncha struthersii"
"euroys1","Eurasian Oystercatcher","Haematopus ostralegus","Eurasian Oystercatcher","Haematopus ostralegus"
"pieoys1","Pied Oystercatcher","Haematopus longirostris","Pied Oystercatcher","Haematopus longirostris"
"soioys1","South Island Oystercatcher","Haematopus finschi","South Island Oystercatcher","Haematopus finschi"
"chaoys1","Chatham Oystercatcher","Haematopus chathamensis","Chatham Oystercatcher","Haematopus chathamensis"
"varoys1","Variable Oystercatcher","Haematopus unicolor","Variable Oystercatcher","Haematopus unicolor"
"soooys1","Sooty Oystercatcher","Haematopus fuliginosus","Sooty Oystercatcher","Haematopus fuliginosus"
"ameoys","American Oystercatcher","Haematopus palliatus","American Oystercatcher","Haematopus palliatus"
"afroys1","African Oystercatcher","Haematopus moquini","African Oystercatcher","Haematopus moquini"
"canoys1","Canarian Oystercatcher","Haematopus meadewaldoi",NA,NA
"blaoys1","Blackish Oystercatcher","Haematopus ater","Blackish Oystercatcher","Haematopus ater"
"magoys1","Magellanic Oystercatcher","Haematopus leucopodus","Magellanic Oystercatcher","Haematopus leucopodus"
"blkoys","Black Oystercatcher","Haematopus bachmani","Black Oystercatcher","Haematopus bachmani"
"bkbplo","Black-bellied Plover","Pluvialis squatarola","Grey Plover","Pluvialis squatarola"
"eugplo","European Golden-Plover","Pluvialis apricaria","European Golden Plover","Pluvialis apricaria"
"amgplo","American Golden-Plover","Pluvialis dominica","American Golden Plover","Pluvialis dominica"
"pagplo","Pacific Golden-Plover","Pluvialis fulva","Pacific Golden Plover","Pluvialis fulva"
"tatdot1","Tawny-throated Dotterel","Oreopholus ruficollis","Tawny-throated Dotterel","Oreopholus ruficollis"
"norlap","Northern Lapwing","Vanellus vanellus","Northern Lapwing","Vanellus vanellus"
"lotlap1","Long-toed Lapwing","Vanellus crassirostris","Long-toed Lapwing","Vanellus crassirostris"
"blaplo1","Blacksmith Lapwing","Vanellus armatus","Blacksmith Lapwing","Vanellus armatus"
"spwlap1","Spur-winged Lapwing","Vanellus spinosus","Spur-winged Lapwing","Vanellus spinosus"
"rivlap1","River Lapwing","Vanellus duvaucelii","River Lapwing","Vanellus duvaucelii"
"yewlap2","Yellow-wattled Lapwing","Vanellus malabaricus","Yellow-wattled Lapwing","Vanellus malabaricus"
"blhlap1","Black-headed Lapwing","Vanellus tectus","Black-headed Lapwing","Vanellus tectus"
"whhlap1","White-headed Lapwing","Vanellus albiceps","White-crowned Lapwing","Vanellus albiceps"
"senlap1","Senegal Lapwing","Vanellus lugubris","Senegal Lapwing","Vanellus lugubris"
"blwlap1","Black-winged Lapwing","Vanellus melanopterus","Black-winged Lapwing","Vanellus melanopterus"
"crolap1","Crowned Lapwing","Vanellus coronatus","Crowned Lapwing","Vanellus coronatus"
"watlap1","Wattled Lapwing","Vanellus senegallus","African Wattled Lapwing","Vanellus senegallus"
"spblap1","Spot-breasted Lapwing","Vanellus melanocephalus","Spot-breasted Lapwing","Vanellus melanocephalus"
"brclap1","Brown-chested Lapwing","Vanellus superciliosus","Brown-chested Lapwing","Vanellus superciliosus"
"gyhlap1","Gray-headed Lapwing","Vanellus cinereus","Grey-headed Lapwing","Vanellus cinereus"
"rewlap1","Red-wattled Lapwing","Vanellus indicus","Red-wattled Lapwing","Vanellus indicus"
"sunlap1","Javan Lapwing","Vanellus macropterus",NA,NA
"banlap1","Banded Lapwing","Vanellus tricolor","Banded Lapwing","Vanellus tricolor"
"maslap1","Masked Lapwing","Vanellus miles","Masked Lapwing","Vanellus miles"
"soclap1","Sociable Lapwing","Vanellus gregarius","Sociable Lapwing","Vanellus gregarius"
"whtlap1","White-tailed Lapwing","Vanellus leucurus","White-tailed Lapwing","Vanellus leucurus"
"pielap1","Pied Lapwing","Vanellus cayanus",NA,NA
"soulap1","Southern Lapwing","Vanellus chilensis","Southern Lapwing","Vanellus chilensis"
"andlap1","Andean Lapwing","Vanellus resplendens","Andean Lapwing","Vanellus resplendens"
"rebdot1","Red-breasted Dotterel","Charadrius obscurus","New Zealand Plover","Charadrius obscurus"
"lesplo","Lesser Sand-Plover","Charadrius mongolus","Lesser Sand Plover","Charadrius mongolus"
"grsplo","Greater Sand-Plover","Charadrius leschenaultii","Greater Sand Plover","Charadrius leschenaultii"
"casplo1","Caspian Plover","Charadrius asiaticus","Caspian Plover","Charadrius asiaticus"
"colplo1","Collared Plover","Charadrius collaris","Collared Plover","Charadrius collaris"
"punplo1","Puna Plover","Charadrius alticola","Puna Plover","Charadrius alticola"
"twbplo1","Two-banded Plover","Charadrius falklandicus","Two-banded Plover","Charadrius falklandicus"
"dobplo1","Double-banded Plover","Charadrius bicinctus","Double-banded Plover","Charadrius bicinctus"
"kitplo1","Kittlitz's Plover","Charadrius pecuarius","Kittlitz's Plover","Charadrius pecuarius"
"recplo1","Red-capped Plover","Charadrius ruficapillus","Red-capped Plover","Charadrius ruficapillus"
"malplo1","Malaysian Plover","Charadrius peronii","Malaysian Plover","Charadrius peronii"
"kenplo1","Kentish Plover","Charadrius alexandrinus","Kentish Plover","Charadrius alexandrinus"
"snoplo5","Snowy Plover","Charadrius nivosus","Snowy Plover","Charadrius nivosus"
"javplo1","Javan Plover","Charadrius javanicus","Javan Plover","Charadrius javanicus"
"wilplo","Wilson's Plover","Charadrius wilsonia","Wilson's Plover","Charadrius wilsonia"
"corplo","Common Ringed Plover","Charadrius hiaticula","Common Ringed Plover","Charadrius hiaticula"
"semplo","Semipalmated Plover","Charadrius semipalmatus","Semipalmated Plover","Charadrius semipalmatus"
"lobplo1","Long-billed Plover","Charadrius placidus","Long-billed Plover","Charadrius placidus"
"pipplo","Piping Plover","Charadrius melodus","Piping Plover","Charadrius melodus"
"madplo1","Madagascar Plover","Charadrius thoracicus","Madagascan Plover","Charadrius thoracicus"
"lirplo","Little Ringed Plover","Charadrius dubius","Little Ringed Plover","Charadrius dubius"
"thbplo1","Three-banded Plover","Charadrius tricollaris","Three-banded Plover","Charadrius tricollaris"
"forplo1","Forbes's Plover","Charadrius forbesi","Forbes's Plover","Charadrius forbesi"
"whfplo1","White-fronted Plover","Charadrius marginatus","White-fronted Plover","Charadrius marginatus"
"chbplo1","Chestnut-banded Plover","Charadrius pallidus","Chestnut-banded Plover","Charadrius pallidus"
"killde","Killdeer","Charadrius vociferus","Killdeer","Charadrius vociferus"
"mouplo","Mountain Plover","Charadrius montanus","Mountain Plover","Charadrius montanus"
"oriplo1","Oriental Plover","Charadrius veredus","Oriental Plover","Charadrius veredus"
"eurdot","Eurasian Dotterel","Charadrius morinellus","Eurasian Dotterel","Charadrius morinellus"
"sthplo1","St. Helena Plover","Charadrius sanctaehelenae","St. Helena Plover","Charadrius sanctaehelenae"
"rucdot1","Rufous-chested Dotterel","Charadrius modestus","Rufous-chested Plover","Charadrius modestus"
"rekdot1","Red-kneed Dotterel","Erythrogonys cinctus","Red-kneed Dotterel","Erythrogonys cinctus"
"hooplo2","Hooded Plover","Thinornis cucullatus","Hooded Dotterel","Thinornis cucullatus"
"shoplo1","Shore Plover","Thinornis novaeseelandiae","Shore Dotterel","Thinornis novaeseelandiae"
"blfdot1","Black-fronted Dotterel","Elseyornis melanops","Black-fronted Dotterel","Elseyornis melanops"
"inldot2","Inland Dotterel","Peltohyas australis","Inland Dotterel","Peltohyas australis"
"wrybil1","Wrybill","Anarhynchus frontalis","Wrybill","Anarhynchus frontalis"
"diaplo1","Diademed Sandpiper-Plover","Phegornis mitchellii","Diademed Sandpiper-Plover","Phegornis mitchellii"
"plawan1","Plains-wanderer","Pedionomus torquatus","Plains-wanderer","Pedionomus torquatus"
"rubsee2","Rufous-bellied Seedsnipe","Attagis gayi","Rufous-bellied Seedsnipe","Attagis gayi"
"whbsee2","White-bellied Seedsnipe","Attagis malouinus","White-bellied Seedsnipe","Attagis malouinus"
"gybsee1","Gray-breasted Seedsnipe","Thinocorus orbignyianus","Grey-breasted Seedsnipe","Thinocorus orbignyianus"
"leasee1","Least Seedsnipe","Thinocorus rumicivorus","Least Seedsnipe","Thinocorus rumicivorus"
"grpsni1","Greater Painted-Snipe","Rostratula benghalensis","Greater Painted-snipe","Rostratula benghalensis"
"auspas1","Australian Painted-Snipe","Rostratula australis",NA,NA
"soapas1","South American Painted-Snipe","Nycticryphes semicollaris","South American Painted-snipe","Nycticryphes semicollaris"
"lesjac1","Lesser Jacana","Microparra capensis","Lesser Jacana","Microparra capensis"
"afrjac1","African Jacana","Actophilornis africanus","African Jacana","Actophilornis africanus"
"madjac1","Madagascar Jacana","Actophilornis albinucha","Madagascan Jacana","Actophilornis albinucha"
"cocjac1","Comb-crested Jacana","Irediparra gallinacea","Comb-crested Jacana","Irediparra gallinacea"
"phtjac1","Pheasant-tailed Jacana","Hydrophasianus chirurgus","Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"brwjac1","Bronze-winged Jacana","Metopidius indicus","Bronze-winged Jacana","Metopidius indicus"
"norjac","Northern Jacana","Jacana spinosa","Northern Jacana","Jacana spinosa"
"watjac1","Wattled Jacana","Jacana jacana","Wattled Jacana","Jacana jacana"
"uplsan","Upland Sandpiper","Bartramia longicauda","Upland Sandpiper","Bartramia longicauda"
"brtcur","Bristle-thighed Curlew","Numenius tahitiensis","Bristle-thighed Curlew","Numenius tahitiensis"
"whimbr","Whimbrel","Numenius phaeopus","Eurasian Whimbrel","Numenius phaeopus"
"litcur","Little Curlew","Numenius minutus","Little Curlew","Numenius minutus"
"eskcur","Eskimo Curlew","Numenius borealis",NA,NA
"lobcur","Long-billed Curlew","Numenius americanus","Long-billed Curlew","Numenius americanus"
"faecur","Far Eastern Curlew","Numenius madagascariensis","Far Eastern Curlew","Numenius madagascariensis"
"slbcur","Slender-billed Curlew","Numenius tenuirostris","Slender-billed Curlew","Numenius tenuirostris"
"eurcur","Eurasian Curlew","Numenius arquata","Eurasian Curlew","Numenius arquata"
"batgod","Bar-tailed Godwit","Limosa lapponica","Bar-tailed Godwit","Limosa lapponica"
"bktgod","Black-tailed Godwit","Limosa limosa","Black-tailed Godwit","Limosa limosa"
"hudgod","Hudsonian Godwit","Limosa haemastica","Hudsonian Godwit","Limosa haemastica"
"margod","Marbled Godwit","Limosa fedoa","Marbled Godwit","Limosa fedoa"
"rudtur","Ruddy Turnstone","Arenaria interpres","Ruddy Turnstone","Arenaria interpres"
"blktur","Black Turnstone","Arenaria melanocephala","Black Turnstone","Arenaria melanocephala"
"kirsan1","Kiritimati Sandpiper","Prosobonia cancellata",NA,NA
"whwsan1","White-winged Sandpiper","Prosobonia leucoptera",NA,NA
"moosan1","Moorea Sandpiper","Prosobonia ellisi",NA,NA
"tuasan1","Tuamotu Sandpiper","Prosobonia parvirostris","Tuamotu Sandpiper","Prosobonia parvirostris"
"grekno","Great Knot","Calidris tenuirostris","Great Knot","Calidris tenuirostris"
"redkno","Red Knot","Calidris canutus","Red Knot","Calidris canutus"
"surfbi","Surfbird","Calidris virgata","Surfbird","Calidris virgata"
"ruff","Ruff","Calidris pugnax","Ruff","Calidris pugnax"
"brbsan","Broad-billed Sandpiper","Calidris falcinellus","Broad-billed Sandpiper","Calidris falcinellus"
"shtsan","Sharp-tailed Sandpiper","Calidris acuminata","Sharp-tailed Sandpiper","Calidris acuminata"
"stisan","Stilt Sandpiper","Calidris himantopus","Stilt Sandpiper","Calidris himantopus"
"cursan","Curlew Sandpiper","Calidris ferruginea","Curlew Sandpiper","Calidris ferruginea"
"temsti","Temminck's Stint","Calidris temminckii","Temminck's Stint","Calidris temminckii"
"lotsti","Long-toed Stint","Calidris subminuta","Long-toed Stint","Calidris subminuta"
"spbsan1","Spoon-billed Sandpiper","Calidris pygmaea","Spoon-billed Sandpiper","Calidris pygmaea"
"rensti","Red-necked Stint","Calidris ruficollis","Red-necked Stint","Calidris ruficollis"
"sander","Sanderling","Calidris alba","Sanderling","Calidris alba"
"dunlin","Dunlin","Calidris alpina","Dunlin","Calidris alpina"
"rocsan","Rock Sandpiper","Calidris ptilocnemis","Rock Sandpiper","Calidris ptilocnemis"
"pursan","Purple Sandpiper","Calidris maritima","Purple Sandpiper","Calidris maritima"
"baisan","Baird's Sandpiper","Calidris bairdii","Baird's Sandpiper","Calidris bairdii"
"litsti","Little Stint","Calidris minuta","Little Stint","Calidris minuta"
"leasan","Least Sandpiper","Calidris minutilla","Least Sandpiper","Calidris minutilla"
"whrsan","White-rumped Sandpiper","Calidris fuscicollis","White-rumped Sandpiper","Calidris fuscicollis"
"bubsan","Buff-breasted Sandpiper","Calidris subruficollis","Buff-breasted Sandpiper","Calidris subruficollis"
"pecsan","Pectoral Sandpiper","Calidris melanotos","Pectoral Sandpiper","Calidris melanotos"
"semsan","Semipalmated Sandpiper","Calidris pusilla","Semipalmated Sandpiper","Calidris pusilla"
"wessan","Western Sandpiper","Calidris mauri","Western Sandpiper","Calidris mauri"
"asidow1","Asian Dowitcher","Limnodromus semipalmatus","Asian Dowitcher","Limnodromus semipalmatus"
"shbdow","Short-billed Dowitcher","Limnodromus griseus","Short-billed Dowitcher","Limnodromus griseus"
"lobdow","Long-billed Dowitcher","Limnodromus scolopaceus","Long-billed Dowitcher","Limnodromus scolopaceus"
"jacsni","Jack Snipe","Lymnocryptes minimus","Jack Snipe","Lymnocryptes minimus"
"eurwoo","Eurasian Woodcock","Scolopax rusticola","Eurasian Woodcock","Scolopax rusticola"
"amawoo1","Amami Woodcock","Scolopax mira","Amami Woodcock","Scolopax mira"
"bukwoo1","Bukidnon Woodcock","Scolopax bukidnonensis","Bukidnon Woodcock","Scolopax bukidnonensis"
"duswoo4","Javan Woodcock","Scolopax saturata","Javan Woodcock","Scolopax saturata"
"duswoo3","New Guinea Woodcock","Scolopax rosenbergii","New Guinea Woodcock","Scolopax rosenbergii"
"sulwoo1","Sulawesi Woodcock","Scolopax celebensis",NA,NA
"molwoo1","Moluccan Woodcock","Scolopax rochussenii","Moluccan Woodcock","Scolopax rochussenii"
"amewoo","American Woodcock","Scolopax minor","American Woodcock","Scolopax minor"
"noisni1","North Island Snipe","Coenocorypha barrierensis",NA,NA
"soisni1","South Island Snipe","Coenocorypha iredalei",NA,NA
"chisni1","Chatham Islands Snipe","Coenocorypha pusilla","Chatham Snipe","Coenocorypha pusilla"
"snisni1","Snares Island Snipe","Coenocorypha huegeli","Snares Snipe","Coenocorypha huegeli"
"subsni1","Subantarctic Snipe","Coenocorypha aucklandica",NA,NA
"impsni1","Imperial Snipe","Gallinago imperialis","Imperial Snipe","Gallinago imperialis"
"andsni1","Jameson's Snipe","Gallinago jamesoni","Jameson's Snipe","Gallinago jamesoni"
"fuesni1","Fuegian Snipe","Gallinago stricklandii","Fuegian Snipe","Gallinago stricklandii"
"solsni1","Solitary Snipe","Gallinago solitaria","Solitary Snipe","Gallinago solitaria"
"latsni1","Latham's Snipe","Gallinago hardwickii","Latham's Snipe","Gallinago hardwickii"
"woosni1","Wood Snipe","Gallinago nemoricola","Wood Snipe","Gallinago nemoricola"
"gresni1","Great Snipe","Gallinago media","Great Snipe","Gallinago media"
"comsni","Common Snipe","Gallinago gallinago","Common Snipe","Gallinago gallinago"
"wilsni1","Wilson's Snipe","Gallinago delicata","Wilson's Snipe","Gallinago delicata"
"soasni1","South American Snipe","Gallinago paraguaiae","South American Snipe","Gallinago paraguaiae"
"punsni1","Puna Snipe","Gallinago andina","Puna Snipe","Gallinago andina"
"nobsni1","Noble Snipe","Gallinago nobilis","Noble Snipe","Gallinago nobilis"
"pitsni","Pin-tailed Snipe","Gallinago stenura","Pin-tailed Snipe","Gallinago stenura"
"swisni1","Swinhoe's Snipe","Gallinago megala","Swinhoe's Snipe","Gallinago megala"
"afrsni1","African Snipe","Gallinago nigripennis","African Snipe","Gallinago nigripennis"
"madsni1","Madagascar Snipe","Gallinago macrodactyla","Madagascan Snipe","Gallinago macrodactyla"
"giasni1","Giant Snipe","Gallinago undulata","Giant Snipe","Gallinago undulata"
"tersan","Terek Sandpiper","Xenus cinereus","Terek Sandpiper","Xenus cinereus"
"wilpha","Wilson's Phalarope","Phalaropus tricolor","Wilson's Phalarope","Phalaropus tricolor"
"renpha","Red-necked Phalarope","Phalaropus lobatus","Red-necked Phalarope","Phalaropus lobatus"
"redpha1","Red Phalarope","Phalaropus fulicarius","Red Phalarope","Phalaropus fulicarius"
"comsan","Common Sandpiper","Actitis hypoleucos","Common Sandpiper","Actitis hypoleucos"
"sposan","Spotted Sandpiper","Actitis macularius","Spotted Sandpiper","Actitis macularius"
"grnsan","Green Sandpiper","Tringa ochropus","Green Sandpiper","Tringa ochropus"
"solsan","Solitary Sandpiper","Tringa solitaria","Solitary Sandpiper","Tringa solitaria"
"gyttat1","Gray-tailed Tattler","Tringa brevipes","Grey-tailed Tattler","Tringa brevipes"
"wantat1","Wandering Tattler","Tringa incana","Wandering Tattler","Tringa incana"
"spored","Spotted Redshank","Tringa erythropus","Spotted Redshank","Tringa erythropus"
"greyel","Greater Yellowlegs","Tringa melanoleuca","Greater Yellowlegs","Tringa melanoleuca"
"comgre","Common Greenshank","Tringa nebularia","Common Greenshank","Tringa nebularia"
"norgre1","Nordmann's Greenshank","Tringa guttifer","Nordmann's Greenshank","Tringa guttifer"
"willet1","Willet","Tringa semipalmata","Willet","Tringa semipalmata"
"lesyel","Lesser Yellowlegs","Tringa flavipes","Lesser Yellowlegs","Tringa flavipes"
"marsan","Marsh Sandpiper","Tringa stagnatilis","Marsh Sandpiper","Tringa stagnatilis"
"woosan","Wood Sandpiper","Tringa glareola","Wood Sandpiper","Tringa glareola"
"comred1","Common Redshank","Tringa totanus","Common Redshank","Tringa totanus"
"smabut2","Small Buttonquail","Turnix sylvaticus","Common Buttonquail","Turnix sylvaticus"
"rebbut2","Red-backed Buttonquail","Turnix maculosus","Red-backed Buttonquail","Turnix maculosus"
